min_price,max_price,number_of_matches
600,10000,1367
450.0,600,1950
225.0,450.0,2015
168.75,225.0,1267
126.56,168.75,1643
110.74,126.56,878
96.89,110.74,1172
84.78,96.89,1409
74.19,84.78,1602
64.91,74.19,1851
60.85,64.91,720
57.05,60.85,1243
53.48,57.05,1152
50.14,53.48,808
47.01,50.14,1609
44.07,47.01,1287
41.31,44.07,1388
38.73,41.31,1608
36.3,38.73,1427
34.03,36.3,1772
31.9,34.03,1892
29.91,31.9,1733
28.05,29.91,1513
26.3,28.05,1900
25.48,26.3,974
24.69,25.48,1137
23.15,24.69,1728
22.42,23.15,1209
21.02,22.42,1754
20.36,21.02,1021
19.73,20.36,1455
19.12,19.73,826
18.52,19.12,1112
17.94,18.52,1308
17.38,17.94,1061
16.84,17.38,1257
16.31,16.84,918
15.8,16.31,1563
15.3,15.8,944
14.82,15.3,1644
14.36,14.82,1031
13.91,14.36,1229
13.04,13.91,1942
12.63,13.04,1491
12.23,12.63,1053
11.85,12.23,1409
11.11,11.85,1487
10.76,11.11,1436
10.09,10.76,1321
9.78,10.09,1560
9.16,9.78,1402
8.59,9.16,1645
8.05,8.59,1108
7.54,8.05,1376
6.6,7.54,1943
0,6.6,1699
